city,date,ticker,side,p_model,cost,n,ev_pred,won,pnl
AUS,2026-06-25,KXHIGHAUS-26JUN25-B95.5,no,0.919,0.83,45,0.079,True,7.2
AUS,2026-06-25,KXHIGHAUS-26JUN25-B93.5,no,0.775,0.45,88,0.308,False,-41.13
DEN,2026-08-20,KXHIGHDEN-26AUG20-B94.5,no,0.851,0.78,51,0.059,True,10.6
DEN,2026-08-20,KXHIGHDEN-26AUG20-B92.5,no,0.729,0.42,2,0.292,False,-0.88
DEN,2026-08-20,KXHIGHDEN-26AUG20-B90.5,yes,0.282,0.09,12,0.187,False,-1.15
DEN,2026-08-19,KXHIGHDEN-26AUG19-T84,yes,0.252,0.06,37,0.188,False,-2.37
DEN,2026-08-19,KXHIGHDEN-26AUG19-B90.5,no,0.956,0.63,12,0.31,False,-7.76
DEN,2026-08-19,KXHIGHDEN-26AUG19-B88.5,no,0.857,0.51,1,0.33,True,0.47
DEN,2026-08-19,KXHIGHDEN-26AUG19-B86.5,yes,0.267,0.13,19,0.129,False,-2.63
DEN,2026-08-19,KXHIGHDEN-26AUG19-B84.5,yes,0.286,0.04,25,0.243,False,-1.07
DEN,2026-08-18,KXHIGHDEN-26AUG18-T89,yes,0.583,0.1,11,0.477,True,9.83
DEN,2026-08-18,KXHIGHDEN-26AUG18-B93.5,no,0.965,0.94,5,0.021,True,0.28
DEN,2026-08-18,KXHIGHDEN-26AUG18-B91.5,no,0.876,0.52,14,0.338,True,6.47
DEN,2026-08-18,KXHIGHDEN-26AUG18-B89.5,no,0.748,0.65,12,0.083,True,4.0
DEN,2026-08-17,KXHIGHDEN-26AUG17-T92,no,0.924,0.8,2,0.112,False,-1.63
DEN,2026-08-17,KXHIGHDEN-26AUG17-B91.5,no,0.824,0.44,11,0.367,True,5.97
DEN,2026-08-17,KXHIGHDEN-26AUG17-B89.5,yes,0.286,0.18,17,0.095,False,-3.24
DEN,2026-08-16,KXHIGHDEN-26AUG16-T80,yes,0.462,0.11,74,0.345,False,-8.65
DEN,2026-08-16,KXHIGHDEN-26AUG16-B86.5,no,0.987,0.96,5,0.025,True,0.18
DEN,2026-08-16,KXHIGHDEN-26AUG16-B84.5,no,0.938,0.7,54,0.223,True,15.4
DEN,2026-08-16,KXHIGHDEN-26AUG16-B82.5,no,0.824,0.59,32,0.217,False,-19.43
DEN,2026-08-16,KXHIGHDEN-26AUG16-B80.5,yes,0.286,0.11,75,0.169,False,-8.77
DEN,2026-08-15,KXHIGHDEN-26AUG15-T84,no,0.987,0.89,44,0.09,True,4.53
DEN,2026-08-15,KXHIGHDEN-26AUG15-T77,yes,0.206,0.03,22,0.174,False,-0.71
DEN,2026-08-15,KXHIGHDEN-26AUG15-B83.5,no,0.942,0.65,45,0.276,True,15.03
DEN,2026-08-15,KXHIGHDEN-26AUG15-B81.5,no,0.831,0.75,3,0.068,False,-2.29
DEN,2026-08-15,KXHIGHDEN-26AUG15-B79.5,yes,0.283,0.19,4,0.082,False,-0.81
DEN,2026-08-15,KXHIGHDEN-26AUG15-B77.5,yes,0.271,0.05,5,0.218,False,-0.27
DEN,2026-08-14,KXHIGHDEN-26AUG14-T88,no,0.965,0.89,44,0.068,True,4.53
DEN,2026-08-14,KXHIGHDEN-26AUG14-B87.5,no,0.888,0.54,32,0.33,False,-17.84
DEN,2026-08-14,KXHIGHDEN-26AUG14-B83.5,yes,0.296,0.09,2,0.2,False,-0.2
DEN,2026-08-13,KXHIGHDEN-26AUG13-T78,no,0.984,0.94,42,0.04,True,2.35
DEN,2026-08-13,KXHIGHDEN-26AUG13-B80.5,no,0.817,0.58,17,0.22,True,6.85
DEN,2026-08-13,KXHIGHDEN-26AUG13-B78.5,no,0.934,0.85,21,0.075,True,2.96
DEN,2026-08-12,KXHIGHDEN-26AUG12-T94,no,0.815,0.45,3,0.347,False,-1.41
DEN,2026-08-12,KXHIGHDEN-26AUG12-B93.5,no,0.738,0.65,36,0.072,True,12.02
DEN,2026-08-12,KXHIGHDEN-26AUG12-B91.5,yes,0.288,0.06,1,0.224,False,-0.07
DEN,2026-08-12,KXHIGHDEN-26AUG12-B89.5,yes,0.183,0.03,2,0.151,False,-0.07
DEN,2026-08-11,KXHIGHDEN-26AUG11-T93,yes,0.358,0.04,15,0.316,False,-0.65
DEN,2026-08-11,KXHIGHDEN-26AUG11-B97.5,no,0.905,0.58,68,0.308,False,-40.6
DEN,2026-08-11,KXHIGHDEN-26AUG11-B95.5,no,0.778,0.55,72,0.211,True,31.15
DEN,2026-08-11,KXHIGHDEN-26AUG11-B93.5,yes,0.297,0.11,17,0.18,False,-1.99
