city,date,ticker,side,p_model,cost,n,ev_pred,won,pnl
CHI,2026-06-13,KXHIGHCHI-26JUN13-B82.5,yes,0.183,0.06,100,0.119,True,93.6
CHI,2026-06-12,KXHIGHCHI-26JUN12-T77,yes,0.447,0.02,119,0.425,False,-2.55
CHI,2026-06-12,KXHIGHCHI-26JUN12-B81.5,no,0.918,0.53,75,0.371,False,-41.06
CHI,2026-06-12,KXHIGHCHI-26JUN12-B79.5,no,0.818,0.58,68,0.22,True,27.4
CHI,2026-06-12,KXHIGHCHI-26JUN12-B77.5,yes,0.261,0.06,61,0.197,False,-3.91
CHI,2026-06-11,KXHIGHCHI-26JUN11-T93,yes,0.138,0.02,197,0.117,False,-4.22
CHI,2026-06-11,KXHIGHCHI-26JUN11-T86,no,0.948,0.09,201,0.853,False,-19.25
CHI,2026-06-11,KXHIGHCHI-26JUN11-B90.5,yes,0.265,0.02,29,0.244,False,-0.62
CHI,2026-06-11,KXHIGHCHI-26JUN11-B88.5,yes,0.222,0.02,38,0.201,False,-0.82
CHI,2026-06-11,KXHIGHCHI-26JUN11-B86.5,yes,0.119,0.08,353,0.034,False,-30.06
CHI,2026-06-10,KXHIGHCHI-26JUN10-B96.5,yes,0.15,0.03,9,0.118,False,-0.29
CHI,2026-06-10,KXHIGHCHI-26JUN10-B94.5,yes,0.245,0.1,162,0.139,False,-17.23
CHI,2026-06-10,KXHIGHCHI-26JUN10-B92.5,no,0.743,0.51,78,0.216,True,36.85
CHI,2026-06-10,KXHIGHCHI-26JUN10-B90.5,no,0.828,0.66,60,0.152,False,-40.55
CHI,2026-06-09,KXHIGHCHI-26JUN09-T91,yes,0.131,0.02,29,0.109,False,-0.62
CHI,2026-06-09,KXHIGHCHI-26JUN09-T84,yes,0.055,0.02,7,0.034,False,-0.15
CHI,2026-06-09,KXHIGHCHI-26JUN09-B90.5,yes,0.198,0.05,17,0.145,False,-0.91
CHI,2026-06-09,KXHIGHCHI-26JUN09-B88.5,no,0.735,0.66,60,0.06,False,-40.55
CHI,2026-06-09,KXHIGHCHI-26JUN09-B86.5,no,0.773,0.48,81,0.276,True,40.7
CHI,2026-06-09,KXHIGHCHI-26JUN09-B84.5,yes,0.125,0.09,85,0.029,False,-8.14
CHI,2026-06-08,KXHIGHCHI-26JUN08-T87,yes,0.317,0.05,7,0.263,False,-0.38
