wallets,n_wallets,bet_size,peak_concurrent,peak_capital,fits_bankroll,total_trades,active_weeks,timespan_weeks,weekly_mean,weekly_time_avg,weekly_median,weekly_p25,weekly_p75,weekly_min,weekly_max,pct_profitable_weeks,total_pnl
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x412fe1a101554f0b382181c3af932e4b2d8030fa')",3,50,37,1850,True,1475,71,104.0,511.03,348.88,230.52,-86.03,438.76,-646.67,9199.68,63.4,36283.09
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca')",3,50,37,1850,True,1413,79,104.4,481.21,364.04,98.56,-112.53,459.62,-470.07,10135.71,58.2,38015.66
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x567464a8b6b5794c43282c4a9274e12b48ba8b14')",3,35,51,1785,True,1805,72,104.6,479.26,329.98,160.38,-43.16,602.19,-809.95,8922.45,63.9,34506.76
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x9d9346b36bfacf6858ae06c7401a72ad09162cf1')",3,50,37,1850,True,1747,71,104.7,505.56,342.79,149.99,-121.37,499.52,-1012.4,10933.04,59.2,35894.55
"('0x1cc16713196d456f86fa9c7387dd326a7f73b8df', '0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf', '0x412fe1a101554f0b382181c3af932e4b2d8030fa')",3,25,77,1925,True,1902,70,103.7,239.38,161.57,72.55,-70.34,242.98,-1133.75,4658.03,60.0,16756.86
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0xfbf3d501e88815464642d0e913f15379c3eeb218')",3,65,30,1950,True,1471,37,94.4,825.61,323.5,584.3,-62.28,1258.87,-1976.23,5907.4,70.3,30547.66
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x87da2f16cf98af9b3e2f6ba6d9c4c470815b53d1')",3,60,31,1860,True,2270,32,30.9,465.54,482.78,171.2,-278.34,1094.86,-2182.68,4844.86,53.1,14897.28
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0xc8ec6d4cef5c5fe8409ef69303c37f05b678e8f1')",3,35,52,1820,True,848,40,71.0,288.95,162.79,124.9,40.7,499.53,-454.65,1449.41,90.0,11558.17
"('0x23c8a4c266d10ba5846837eac391fea89ed6f293', '0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x412fe1a101554f0b382181c3af932e4b2d8030fa')",3,65,30,1950,True,937,32,30.3,496.24,524.33,267.22,-69.63,1009.19,-840.66,2752.08,68.8,15879.57
"('0x39d3c773be30fcc73161fc6768f46d563a779ef0', '0x412fe1a101554f0b382181c3af932e4b2d8030fa', '0x5c6940cefe1dc0cbcc859b62997cc749baa751ca')",3,60,33,1980,True,875,40,58.3,418.43,287.16,173.79,-76.53,1089.16,-629.82,2234.46,57.5,16737.14
