window_ts,series,ticker,side,ask,secs_left,has_companion,won,profit,result
1785581100,KXHYPE15M,KXHYPE15M-26AUG010645-45,yes,88,420,False,True,4.44,yes
1785581100,KXNEAR15M,KXNEAR15M-26AUG010645-45,no,89,360,True,True,4.02,no
1785582000,KXBTC15M,KXBTC15M-26AUG010700-00,no,87,240,True,True,4.86,no
1785582900,KXETH15M,KXETH15M-26AUG010715-15,no,86,240,False,True,5.3,no
1785582900,KXHYPE15M,KXHYPE15M-26AUG010715-15,no,85,600,False,True,5.74,no
1785584700,KXNEAR15M,KXNEAR15M-26AUG010745-45,no,86,420,False,True,5.3,no
1785586500,KXBTC15M,KXBTC15M-26AUG010815-15,yes,85,600,False,True,5.74,yes
1785587400,KXBTC15M,KXBTC15M-26AUG010830-30,no,87,300,True,True,4.86,no
1785587400,KXBNB15M,KXBNB15M-26AUG010830-30,yes,88,300,True,True,4.44,yes
1785591900,KXSOL15M,KXSOL15M-26AUG010945-45,yes,89,300,False,True,4.02,yes
1785592800,KXSOL15M,KXSOL15M-26AUG011000-00,no,86,480,True,True,5.3,no
1785593700,KXETH15M,KXETH15M-26AUG011015-15,yes,86,240,True,True,5.3,yes
1785593700,KXBNB15M,KXBNB15M-26AUG011015-15,yes,88,420,True,True,4.44,yes
1785607200,KXDOGE15M,KXDOGE15M-26AUG011400-00,no,88,300,True,True,4.44,no
1785607200,KXXRP15M,KXXRP15M-26AUG011400-00,no,88,360,True,True,4.44,no
1785609000,KXDOGE15M,KXDOGE15M-26AUG011430-30,no,89,480,True,True,4.02,no
1785609900,KXBTC15M,KXBTC15M-26AUG011445-45,no,89,600,True,True,4.02,no
1785609900,KXSOL15M,KXSOL15M-26AUG011445-45,no,89,540,True,True,4.02,no
1785609900,KXDOGE15M,KXDOGE15M-26AUG011445-45,no,89,600,True,True,4.02,no
1785609900,KXXRP15M,KXXRP15M-26AUG011445-45,no,89,600,True,True,4.02,no
1785610800,KXETH15M,KXETH15M-26AUG011500-00,no,89,240,True,False,-35,yes
1785610800,KXNEAR15M,KXNEAR15M-26AUG011500-00,no,87,360,True,False,-35,yes
1785611700,KXSOL15M,KXSOL15M-26AUG011515-15,yes,89,420,True,True,4.02,yes
1785612600,KXNEAR15M,KXNEAR15M-26AUG011530-30,no,87,240,True,True,4.86,no
1785614400,KXETH15M,KXETH15M-26AUG011600-00,yes,86,360,True,True,5.3,yes
1785618000,KXETH15M,KXETH15M-26AUG011700-00,yes,89,420,True,True,4.02,yes
1785618000,KXNEAR15M,KXNEAR15M-26AUG011700-00,yes,86,540,False,True,5.3,yes
1785618900,KXBNB15M,KXBNB15M-26AUG011715-15,yes,88,420,True,False,-35,no
1785618900,KXHYPE15M,KXHYPE15M-26AUG011715-15,yes,89,540,True,True,4.02,yes
1785619800,KXXRP15M,KXXRP15M-26AUG011730-30,yes,86,300,True,True,5.3,yes
1785620700,KXSOL15M,KXSOL15M-26AUG011745-45,yes,85,180,True,True,5.74,yes
1785620700,KXNEAR15M,KXNEAR15M-26AUG011745-45,yes,85,420,True,True,5.74,yes
1785623400,KXDOGE15M,KXDOGE15M-26AUG011830-30,no,85,240,True,True,5.74,no
1785623400,KXHYPE15M,KXHYPE15M-26AUG011830-30,no,85,240,True,True,5.74,no
1785626100,KXSOL15M,KXSOL15M-26AUG011915-15,yes,89,600,False,True,4.02,yes
1785626100,KXXRP15M,KXXRP15M-26AUG011915-15,yes,89,240,True,True,4.02,yes
1785627000,KXETH15M,KXETH15M-26AUG011930-30,no,88,480,True,True,4.44,no
1785627900,KXSOL15M,KXSOL15M-26AUG011945-45,yes,88,300,True,True,4.44,yes
1785628800,KXBTC15M,KXBTC15M-26AUG012000-00,yes,85,360,True,True,5.74,yes
1785628800,KXHYPE15M,KXHYPE15M-26AUG012000-00,yes,85,300,True,True,5.74,yes
1785629700,KXSOL15M,KXSOL15M-26AUG012015-15,yes,87,360,True,True,4.86,yes
1785635100,KXETH15M,KXETH15M-26AUG012145-45,yes,88,360,True,True,4.44,yes
1785636000,KXBTC15M,KXBTC15M-26AUG012200-00,no,88,360,True,True,4.44,no
1785636000,KXETH15M,KXETH15M-26AUG012200-00,no,86,360,True,True,5.3,no
1785636900,KXNEAR15M,KXNEAR15M-26AUG012215-15,no,85,540,False,False,-35,yes
1785637800,KXETH15M,KXETH15M-26AUG012230-30,yes,87,180,True,True,4.86,yes
1785637800,KXHYPE15M,KXHYPE15M-26AUG012230-30,yes,88,480,False,True,4.44,yes
1785641400,KXETH15M,KXETH15M-26AUG012330-30,yes,85,240,True,True,5.74,yes
1785641400,KXXRP15M,KXXRP15M-26AUG012330-30,yes,86,240,True,True,5.3,yes
1785643200,KXDOGE15M,KXDOGE15M-26AUG020000-00,no,89,300,True,True,4.02,no
1785644100,KXETH15M,KXETH15M-26AUG020015-15,yes,89,540,True,True,4.02,yes
1785644100,KXNEAR15M,KXNEAR15M-26AUG020015-15,yes,85,600,True,True,5.74,yes
1785647700,KXDOGE15M,KXDOGE15M-26AUG020115-15,no,87,300,True,False,-35,yes
1785648600,KXHYPE15M,KXHYPE15M-26AUG020130-30,no,86,240,False,True,5.3,no
1785650400,KXNEAR15M,KXNEAR15M-26AUG020200-00,no,87,480,False,True,4.86,no
1785652200,KXHYPE15M,KXHYPE15M-26AUG020230-30,no,87,480,False,True,4.86,no
1785654000,KXBNB15M,KXBNB15M-26AUG020300-00,no,87,240,True,True,4.86,no
1785654900,KXDOGE15M,KXDOGE15M-26AUG020315-15,no,86,420,True,True,5.3,no
1785654900,KXNEAR15M,KXNEAR15M-26AUG020315-15,no,88,300,True,True,4.44,no
1785657600,KXETH15M,KXETH15M-26AUG020400-00,no,88,480,True,True,4.44,no
1785659400,KXHYPE15M,KXHYPE15M-26AUG020430-30,yes,89,360,True,True,4.02,yes
1785661200,KXBTC15M,KXBTC15M-26AUG020500-00,no,89,300,True,True,4.02,no
1785661200,KXHYPE15M,KXHYPE15M-26AUG020500-00,no,89,360,True,True,4.02,no
1785662100,KXBNB15M,KXBNB15M-26AUG020515-15,no,89,480,True,False,-35,yes
1785662100,KXXRP15M,KXXRP15M-26AUG020515-15,no,89,360,False,False,-35,yes
1785662100,KXHYPE15M,KXHYPE15M-26AUG020515-15,no,87,480,True,True,4.86,no
1785663900,KXDOGE15M,KXDOGE15M-26AUG020545-45,yes,86,300,True,True,5.3,yes
1785663900,KXXRP15M,KXXRP15M-26AUG020545-45,yes,87,600,True,True,4.86,yes
1785663900,KXNEAR15M,KXNEAR15M-26AUG020545-45,yes,89,300,True,True,4.02,yes
1785667500,KXETH15M,KXETH15M-26AUG020645-45,yes,88,540,True,True,4.44,yes
1785667500,KXHYPE15M,KXHYPE15M-26AUG020645-45,yes,86,540,True,True,5.3,yes
1785671100,KXBNB15M,KXBNB15M-26AUG020745-45,no,88,540,True,True,4.44,no
1785672900,KXETH15M,KXETH15M-26AUG020815-15,yes,89,360,True,True,4.02,yes
1785672900,KXSOL15M,KXSOL15M-26AUG020815-15,yes,86,600,True,True,5.3,yes
1785672900,KXDOGE15M,KXDOGE15M-26AUG020815-15,yes,88,360,True,True,4.44,yes
1785672900,KXBNB15M,KXBNB15M-26AUG020815-15,yes,88,420,True,True,4.44,yes
1785674700,KXETH15M,KXETH15M-26AUG020845-45,no,88,180,True,True,4.44,no
1785674700,KXXRP15M,KXXRP15M-26AUG020845-45,no,86,480,True,True,5.3,no
1785674700,KXHYPE15M,KXHYPE15M-26AUG020845-45,yes,89,360,False,True,4.02,yes
1785675600,KXSOL15M,KXSOL15M-26AUG020900-00,no,86,300,True,True,5.3,no
1785677400,KXBTC15M,KXBTC15M-26AUG020930-30,no,86,480,False,True,5.3,no
1785678300,KXBTC15M,KXBTC15M-26AUG020945-45,no,88,240,True,True,4.44,no
1785678300,KXETH15M,KXETH15M-26AUG020945-45,no,88,240,True,True,4.44,no
1785678300,KXXRP15M,KXXRP15M-26AUG020945-45,no,87,240,True,True,4.86,no
1785678300,KXNEAR15M,KXNEAR15M-26AUG020945-45,no,89,240,True,False,-35,yes
1785680100,KXETH15M,KXETH15M-26AUG021015-15,no,88,360,True,True,4.44,no
1785680100,KXDOGE15M,KXDOGE15M-26AUG021015-15,no,87,360,True,True,4.86,no
1785680100,KXHYPE15M,KXHYPE15M-26AUG021015-15,no,86,240,True,True,5.3,no
1785681000,KXXRP15M,KXXRP15M-26AUG021030-30,yes,86,360,True,True,5.3,yes
1785693600,KXBNB15M,KXBNB15M-26AUG021400-00,yes,89,180,True,True,4.02,yes
1785694500,KXNEAR15M,KXNEAR15M-26AUG021415-15,yes,86,600,True,True,5.3,yes
1785697200,KXSOL15M,KXSOL15M-26AUG021500-00,no,87,360,True,True,4.86,no
1785699900,KXNEAR15M,KXNEAR15M-26AUG021545-45,yes,85,240,True,True,5.74,yes
1785700800,KXNEAR15M,KXNEAR15M-26AUG021600-00,yes,85,300,True,True,5.74,yes
1785701700,KXDOGE15M,KXDOGE15M-26AUG021615-15,no,89,360,True,True,4.02,no
1785702600,KXXRP15M,KXXRP15M-26AUG021630-30,no,87,360,True,True,4.86,no
1785702600,KXNEAR15M,KXNEAR15M-26AUG021630-30,no,85,360,True,True,5.74,no
1785703500,KXDOGE15M,KXDOGE15M-26AUG021645-45,no,88,300,False,True,4.44,no
1785704400,KXBTC15M,KXBTC15M-26AUG021700-00,yes,86,540,True,True,5.3,yes
1785704400,KXETH15M,KXETH15M-26AUG021700-00,yes,87,540,True,True,4.86,yes
1785705300,KXBTC15M,KXBTC15M-26AUG021715-15,yes,86,360,True,True,5.3,yes
1785705300,KXBNB15M,KXBNB15M-26AUG021715-15,yes,89,420,True,True,4.02,yes
1785705300,KXXRP15M,KXXRP15M-26AUG021715-15,yes,89,480,True,True,4.02,yes
1785708000,KXNEAR15M,KXNEAR15M-26AUG021800-00,no,87,360,True,True,4.86,no
1785708900,KXBTC15M,KXBTC15M-26AUG021815-15,yes,87,420,True,True,4.86,yes
1785708900,KXETH15M,KXETH15M-26AUG021815-15,yes,89,360,True,True,4.02,yes
1785708900,KXSOL15M,KXSOL15M-26AUG021815-15,yes,86,480,True,True,5.3,yes
1785708900,KXBNB15M,KXBNB15M-26AUG021815-15,yes,85,480,True,True,5.74,yes
1785708900,KXXRP15M,KXXRP15M-26AUG021815-15,yes,88,360,True,True,4.44,yes
1785711600,KXSOL15M,KXSOL15M-26AUG021900-00,no,87,420,True,True,4.86,no
1785711600,KXDOGE15M,KXDOGE15M-26AUG021900-00,no,85,420,True,True,5.74,no
1785712500,KXBNB15M,KXBNB15M-26AUG021915-15,no,85,360,True,True,5.74,no
1785713400,KXXRP15M,KXXRP15M-26AUG021930-30,yes,89,480,True,True,4.02,yes
1785714300,KXNEAR15M,KXNEAR15M-26AUG021945-45,yes,89,540,False,True,4.02,yes
1785715200,KXHYPE15M,KXHYPE15M-26AUG022000-00,no,89,300,True,True,4.02,no
1785717900,KXHYPE15M,KXHYPE15M-26AUG022045-45,yes,87,240,True,False,-35,no
1785718800,KXHYPE15M,KXHYPE15M-26AUG022100-00,yes,85,420,False,True,5.74,yes
1785719700,KXBTC15M,KXBTC15M-26AUG022115-15,no,89,240,True,True,4.02,no
1785719700,KXDOGE15M,KXDOGE15M-26AUG022115-15,no,86,180,True,True,5.3,no
1785719700,KXXRP15M,KXXRP15M-26AUG022115-15,no,88,240,True,True,4.44,no
1785720600,KXXRP15M,KXXRP15M-26AUG022130-30,no,85,240,True,True,5.74,no
1785725100,KXXRP15M,KXXRP15M-26AUG022245-45,yes,86,420,True,True,5.3,yes
1785726900,KXHYPE15M,KXHYPE15M-26AUG022315-15,yes,89,180,True,False,-35,no
1785729600,KXBTC15M,KXBTC15M-26AUG030000-00,no,87,600,False,True,4.86,no
1785729600,KXBNB15M,KXBNB15M-26AUG030000-00,no,85,600,True,True,5.74,no
1785730500,KXETH15M,KXETH15M-26AUG030015-15,yes,85,420,True,False,-35,no
1785730500,KXNEAR15M,KXNEAR15M-26AUG030015-15,yes,87,240,False,True,4.86,yes
1785732300,KXBNB15M,KXBNB15M-26AUG030045-45,no,85,360,True,True,5.74,no
