series,ticker,zone,side,ask,secs_left,won,profit,prior_filter
KXBTC15M,KXBTC15M-26AUG041615-15,90-95c,no,93,600,True,2.45,False
KXBTC15M,KXBTC15M-26AUG041600-00,80-84c,no,84,600,True,6.2,False
KXBTC15M,KXBTC15M-26AUG041600-00,85-89c,no,87,540,True,4.86,False
KXBTC15M,KXBTC15M-26AUG041545-45,85-89c,yes,89,360,True,4.02,False
KXBTC15M,KXBTC15M-26AUG041545-45,75-79c,yes,79,240,True,8.65,False
KXBTC15M,KXBTC15M-26AUG041545-45,90-95c,yes,95,180,True,1.71,False
KXBTC15M,KXBTC15M-26AUG041530-30,75-79c,no,76,600,True,10.28,False
KXBTC15M,KXBTC15M-26AUG041530-30,85-89c,no,87,480,True,4.86,False
KXBTC15M,KXBTC15M-26AUG041530-30,90-95c,no,92,420,True,2.83,False
KXBTC15M,KXBTC15M-26AUG041515-15,75-79c,yes,75,420,True,10.85,False
KXBTC15M,KXBTC15M-26AUG041515-15,80-84c,yes,83,360,True,6.67,False
KXBTC15M,KXBTC15M-26AUG041515-15,90-95c,yes,93,300,True,2.45,False
KXBTC15M,KXBTC15M-26AUG041500-00,80-84c,yes,80,420,True,8.14,False
KXBTC15M,KXBTC15M-26AUG041500-00,75-79c,yes,76,360,True,10.28,False
KXBTC15M,KXBTC15M-26AUG041500-00,85-89c,yes,87,300,True,4.86,False
KXBTC15M,KXBTC15M-26AUG041500-00,90-95c,yes,90,180,True,3.62,False
KXBTC15M,KXBTC15M-26AUG041045-45,75-79c,yes,76,420,True,10.28,False
KXBTC15M,KXBTC15M-26AUG041045-45,80-84c,yes,81,360,True,7.64,False
KXBTC15M,KXBTC15M-26AUG041045-45,90-95c,yes,92,300,True,2.83,False
KXBTC15M,KXBTC15M-26AUG041030-30,80-84c,no,84,600,False,-35,False
KXBTC15M,KXBTC15M-26AUG041030-30,75-79c,no,79,480,False,-35,False
KXBTC15M,KXBTC15M-26AUG041015-15,90-95c,yes,91,540,True,3.22,False
KXBTC15M,KXBTC15M-26AUG041015-15,75-79c,yes,76,480,True,10.28,False
KXBTC15M,KXBTC15M-26AUG041000-00,85-89c,no,88,600,True,4.44,False
KXBTC15M,KXBTC15M-26AUG041000-00,90-95c,no,90,540,True,3.62,False
KXBTC15M,KXBTC15M-26AUG040945-45,80-84c,yes,81,540,True,7.64,False
KXBTC15M,KXBTC15M-26AUG040945-45,85-89c,yes,87,480,True,4.86,False
KXBTC15M,KXBTC15M-26AUG040945-45,90-95c,yes,92,300,True,2.83,False
KXBTC15M,KXBTC15M-26AUG040715-15,80-84c,no,81,420,True,7.64,False
KXBTC15M,KXBTC15M-26AUG040715-15,85-89c,no,88,180,True,4.44,False
KXBTC15M,KXBTC15M-26AUG040700-00,90-95c,yes,94,600,True,2.08,False
KXBTC15M,KXBTC15M-26AUG040645-45,90-95c,yes,90,300,True,3.62,False
