series,ticker,side,ask,secs_left,prior_asks,accel,won,profit
KXBTC15M,KXBTC15M-26JUN261815-15,no,93,480,"85,93,90",False,True,3.15
KXBTC15M,KXBTC15M-26JUN261800-00,no,91,480,"88,86,87",False,True,4.14
KXBTC15M,KXBTC15M-26JUN261730-30,yes,95,180,"86,81,84",False,True,2.2
KXBTC15M,KXBTC15M-26JUN261700-00,yes,95,420,"82,93,92",False,True,2.2
KXBTC15M,KXBTC15M-26JUN261645-45,no,90,540,"84,90,86",False,True,4.65
KXBTC15M,KXBTC15M-26JUN261530-30,no,95,240,"95,97,96",False,True,2.2
KXBTC15M,KXBTC15M-26JUN261500-00,no,91,540,"81,88,83",False,True,4.14
KXBTC15M,KXBTC15M-26JUN261015-15,no,95,240,"85,82,80",False,True,2.2
KXBTC15M,KXBTC15M-26JUN260945-45,yes,94,360,"80,85,83",False,True,2.67
KXBTC15M,KXBTC15M-26JUN260900-00,yes,93,360,"88,80,87",False,True,3.15
KXBTC15M,KXBTC15M-26JUN260715-15,yes,92,300,"96,96,96",True,True,3.64
KXBTC15M,KXBTC15M-26JUN260600-00,no,95,300,"98,99,99",True,True,2.2
KXBTC15M,KXBTC15M-26JUN260515-15,no,95,480,"85,90,88",False,True,2.2
KXBTC15M,KXBTC15M-26JUN260415-15,no,93,540,"85,80,90",False,True,3.15
KXBTC15M,KXBTC15M-26JUN260400-00,no,90,240,"89,84,86",False,True,4.65
KXBTC15M,KXBTC15M-26JUN260300-00,no,93,240,"92,84,86",False,True,3.15
KXBTC15M,KXBTC15M-26JUN260245-45,yes,93,240,"91,96,97",True,True,3.15
KXBTC15M,KXBTC15M-26JUN260215-15,no,95,360,"86,86,89",True,True,2.2
KXBTC15M,KXBTC15M-26JUN260130-30,no,94,240,"89,98,97",False,False,-45
KXBTC15M,KXBTC15M-26JUN260100-00,no,93,180,"90,90,91",True,True,3.15
KXBTC15M,KXBTC15M-26JUN260000-00,yes,92,540,"93,82,88",False,True,3.64
KXBTC15M,KXBTC15M-26JUN252200-00,yes,90,300,"91,88,84",False,True,4.65
KXBTC15M,KXBTC15M-26JUN252115-15,no,95,300,"90,90,89",False,True,2.2
KXBTC15M,KXBTC15M-26JUN252000-00,no,95,420,"86,94,97",True,True,2.2
KXBTC15M,KXBTC15M-26JUN251930-30,yes,95,480,"88,87,91",False,True,2.2
KXBTC15M,KXBTC15M-26JUN251800-00,yes,93,180,"95,97,98",True,True,3.15
KXBTC15M,KXBTC15M-26JUN251615-15,yes,95,540,"89,91,96",True,True,2.2
KXBTC15M,KXBTC15M-26JUN251515-15,no,94,420,"82,87,91",True,True,2.67
KXBTC15M,KXBTC15M-26JUN251445-45,no,93,540,"84,89,95",True,True,3.15
KXBTC15M,KXBTC15M-26JUN251430-30,yes,90,480,"88,92,93",True,True,4.65
KXBTC15M,KXBTC15M-26JUN251045-45,yes,94,180,"89,96,96",True,True,2.67
KXBTC15M,KXBTC15M-26JUN251000-00,no,94,600,"91,89,97",False,True,2.67
KXBTC15M,KXBTC15M-26JUN250945-45,no,95,420,"85,88,90",True,True,2.2
KXBTC15M,KXBTC15M-26JUN250845-45,yes,95,600,"88,88,90",True,True,2.2
KXBTC15M,KXBTC15M-26JUN250800-00,no,92,480,"93,96,88",False,True,3.64
KXBTC15M,KXBTC15M-26JUN250700-00,no,91,420,"90,88,85",False,True,4.14
KXBTC15M,KXBTC15M-26JUN250630-30,no,94,360,"89,89,91",True,True,2.67
KXBTC15M,KXBTC15M-26JUN250615-15,no,94,300,"88,86,94",False,True,2.67
KXBTC15M,KXBTC15M-26JUN250545-45,yes,91,240,"91,90,81",False,True,4.14
KXBTC15M,KXBTC15M-26JUN250515-15,yes,95,300,"80,84,84",True,True,2.2
KXBTC15M,KXBTC15M-26JUN250230-30,no,93,300,"81,80,86",False,True,3.15
KXBTC15M,KXBTC15M-26JUN250100-00,yes,94,480,"83,90,91",True,True,2.67
KXBTC15M,KXBTC15M-26JUN250030-30,yes,95,240,"86,94,95",True,True,2.2
KXBTC15M,KXBTC15M-26JUN242345-45,no,93,300,"87,81,80",False,True,3.15
KXBTC15M,KXBTC15M-26JUN242230-30,yes,94,420,"92,93,91",False,True,2.67
KXBTC15M,KXBTC15M-26JUN242200-00,yes,95,420,"81,90,93",True,True,2.2
KXBTC15M,KXBTC15M-26JUN242130-30,yes,93,300,"87,92,98",True,True,3.15
KXBTC15M,KXBTC15M-26JUN242045-45,no,90,180,"82,83,80",False,True,4.65
KXBTC15M,KXBTC15M-26JUN241715-15,no,91,240,"96,98,97",False,True,4.14
KXBTC15M,KXBTC15M-26JUN241700-00,yes,95,360,"95,87,96",False,True,2.2
KXBTC15M,KXBTC15M-26JUN241645-45,yes,94,180,"82,81,90",False,True,2.67
KXBTC15M,KXBTC15M-26JUN241615-15,yes,92,600,"90,85,92",False,True,3.64
KXBTC15M,KXBTC15M-26JUN241600-00,yes,92,180,"89,88,87",False,True,3.64
KXBTC15M,KXBTC15M-26JUN241445-45,no,95,300,"90,91,94",True,True,2.2
KXBTC15M,KXBTC15M-26JUN241430-30,yes,94,420,"88,90,96",True,True,2.67
KXBTC15M,KXBTC15M-26JUN241415-15,yes,94,240,"82,82,88",True,True,2.67
KXBTC15M,KXBTC15M-26JUN240930-30,no,94,240,"91,98,94",False,True,2.67
KXBTC15M,KXBTC15M-26JUN240900-00,no,92,360,"94,96,96",True,True,3.64
KXBTC15M,KXBTC15M-26JUN240830-30,no,94,240,"84,90,90",True,True,2.67
KXBTC15M,KXBTC15M-26JUN240745-45,yes,91,540,"81,87,85",False,True,4.14
