series,ticker,side,ask,bucket,secs_left,prior_stuck,won,profit
KXETH15M,KXETH15M-26JUL110415-15,yes,65,65-69c,540,"65,55,61,52",True,22.53
KXETH15M,KXETH15M-26JUL110345-45,no,84,80-85c,600,"48,48,47,55",True,7.97
KXETH15M,KXETH15M-26JUL110330-30,yes,69,65-69c,360,"55,63,50,61",True,18.8
KXETH15M,KXETH15M-26JUL110315-15,no,74,70-74c,540,"47,38,45,64",False,-45
KXETH15M,KXETH15M-26JUL110300-00,no,73,70-74c,540,"39,37,48,59",True,15.48
KXETH15M,KXETH15M-26JUL110130-30,yes,78,75-79c,480,"54,57,47,49",True,11.8
KXETH15M,KXETH15M-26JUL110100-00,no,82,80-85c,540,"63,62,41,42",True,9.19
KXETH15M,KXETH15M-26JUL110015-15,no,82,80-85c,420,"64,56,57,58",False,-45
KXETH15M,KXETH15M-26JUL110000-00,yes,71,70-74c,540,"44,47,63,57",True,17.09
KXETH15M,KXETH15M-26JUL102300-00,no,66,65-69c,540,"52,56,50,54",False,-45
