series,ticker,side,ask,hour_utc,secs_left,won,profit
KXBTC15M,KXBTC15M-26JUL021300-00,yes,93,17,540,True,3.15
KXBTC15M,KXBTC15M-26JUL021230-30,no,94,16,600,True,2.67
KXBTC15M,KXBTC15M-26JUL021200-00,no,94,16,420,True,2.67
KXBTC15M,KXBTC15M-26JUL021115-15,no,92,15,300,True,3.64
KXBTC15M,KXBTC15M-26JUL021100-00,yes,91,15,360,True,4.14
KXBTC15M,KXBTC15M-26JUL011315-15,no,93,17,480,True,3.15
KXBTC15M,KXBTC15M-26JUL011245-45,no,94,16,360,True,2.67
KXBTC15M,KXBTC15M-26JUN301115-15,no,94,15,360,True,2.67
KXBTC15M,KXBTC15M-26JUN301100-00,no,94,15,540,True,2.67
KXBTC15M,KXBTC15M-26JUN291345-45,no,93,17,300,False,-45
KXBTC15M,KXBTC15M-26JUN291145-45,yes,91,15,540,True,4.14
KXBTC15M,KXBTC15M-26JUN291115-15,no,95,15,480,True,2.2
KXBTC15M,KXBTC15M-26JUN281345-45,no,95,17,240,True,2.2
KXBTC15M,KXBTC15M-26JUN281145-45,no,94,15,300,True,2.67
KXBTC15M,KXBTC15M-26JUN281100-00,no,95,15,180,True,2.2
KXBTC15M,KXBTC15M-26JUN271315-15,no,94,17,540,True,2.67
KXBTC15M,KXBTC15M-26JUN271130-30,no,91,15,540,True,4.14
KXBTC15M,KXBTC15M-26JUN261330-30,no,92,17,180,True,3.64
KXBTC15M,KXBTC15M-26JUN261245-45,yes,95,16,300,True,2.2
KXBTC15M,KXBTC15M-26JUN261230-30,no,91,16,360,True,4.14
KXBTC15M,KXBTC15M-26JUN261200-00,no,93,16,300,True,3.15
KXBTC15M,KXBTC15M-26JUN251245-45,no,93,16,600,True,3.15
KXBTC15M,KXBTC15M-26JUN251215-15,yes,95,16,180,True,2.2
KXBTC15M,KXBTC15M-26JUN251200-00,yes,91,16,360,True,4.14
KXBTC15M,KXBTC15M-26JUN251115-15,no,91,15,300,True,4.14
KXBTC15M,KXBTC15M-26JUN241345-45,no,92,17,360,True,3.64
KXBTC15M,KXBTC15M-26JUN241330-30,no,93,17,360,True,3.15
KXBTC15M,KXBTC15M-26JUN241145-45,no,95,15,300,True,2.2
KXBTC15M,KXBTC15M-26JUN241115-15,no,92,15,420,True,3.64
KXBTC15M,KXBTC15M-26JUN231315-15,no,93,17,480,True,3.15
KXBTC15M,KXBTC15M-26JUN231300-00,no,95,17,360,True,2.2
KXBTC15M,KXBTC15M-26JUN231230-30,no,94,16,360,True,2.67
KXBTC15M,KXBTC15M-26JUN231145-45,yes,92,15,480,True,3.64
KXBTC15M,KXBTC15M-26JUN231130-30,no,94,15,300,True,2.67
KXBTC15M,KXBTC15M-26JUN231115-15,no,95,15,300,True,2.2
KXBTC15M,KXBTC15M-26JUN221345-45,no,93,17,540,True,3.15
