series,ticker,side,ask,hour_utc,secs_left,won,profit
KXETH15M,KXETH15M-26JUL111115-15,yes,91,15,480,True,4.14
KXETH15M,KXETH15M-26JUL101345-45,no,90,17,540,True,4.65
KXETH15M,KXETH15M-26JUL101300-00,yes,95,17,360,True,2.2
KXETH15M,KXETH15M-26JUL101245-45,no,92,16,240,True,3.64
KXETH15M,KXETH15M-26JUL101230-30,no,91,16,180,True,4.14
KXETH15M,KXETH15M-26JUL101145-45,no,91,15,360,True,4.14
KXETH15M,KXETH15M-26JUL091330-30,yes,93,17,480,True,3.15
KXETH15M,KXETH15M-26JUL091115-15,yes,95,15,240,True,2.2
KXETH15M,KXETH15M-26JUL081245-45,no,95,16,360,False,-45
KXETH15M,KXETH15M-26JUL081200-00,yes,93,16,360,True,3.15
KXETH15M,KXETH15M-26JUL071315-15,yes,94,17,240,True,2.67
KXETH15M,KXETH15M-26JUL071215-15,no,90,16,180,True,4.65
KXETH15M,KXETH15M-26JUL071100-00,yes,94,15,540,True,2.67
KXETH15M,KXETH15M-26JUL061245-45,yes,91,16,300,True,4.14
KXETH15M,KXETH15M-26JUL061200-00,yes,91,16,360,True,4.14
KXETH15M,KXETH15M-26JUL061115-15,yes,95,15,540,True,2.2
KXETH15M,KXETH15M-26JUL061100-00,no,95,15,180,True,2.2
KXETH15M,KXETH15M-26JUL051200-00,yes,93,16,300,True,3.15
KXETH15M,KXETH15M-26JUL051115-15,yes,95,15,480,True,2.2
KXETH15M,KXETH15M-26JUL041315-15,no,92,17,540,True,3.64
KXETH15M,KXETH15M-26JUL041145-45,no,92,15,240,True,3.64
KXETH15M,KXETH15M-26JUL031345-45,yes,95,17,240,True,2.2
KXETH15M,KXETH15M-26JUL031315-15,yes,95,17,300,True,2.2
KXETH15M,KXETH15M-26JUL021330-30,yes,95,17,360,True,2.2
KXETH15M,KXETH15M-26JUL021300-00,yes,94,17,180,True,2.67
KXETH15M,KXETH15M-26JUL021230-30,no,95,16,540,True,2.2
KXETH15M,KXETH15M-26JUL021200-00,no,94,16,300,True,2.67
KXETH15M,KXETH15M-26JUL021115-15,no,94,15,300,True,2.67
KXETH15M,KXETH15M-26JUL011315-15,no,94,17,540,True,2.67
KXETH15M,KXETH15M-26JUL011245-45,no,95,16,360,True,2.2
KXETH15M,KXETH15M-26JUL011115-15,yes,95,15,540,True,2.2
KXETH15M,KXETH15M-26JUN301300-00,yes,95,17,420,True,2.2
KXETH15M,KXETH15M-26JUN301215-15,yes,95,16,360,True,2.2
KXETH15M,KXETH15M-26JUN301200-00,yes,90,16,540,False,-45
KXETH15M,KXETH15M-26JUN301100-00,no,94,15,540,True,2.67
KXETH15M,KXETH15M-26JUN291330-30,yes,94,17,600,True,2.67
KXETH15M,KXETH15M-26JUN291115-15,no,95,15,360,True,2.2
KXETH15M,KXETH15M-26JUN281345-45,no,90,17,360,False,-45
KXETH15M,KXETH15M-26JUN281300-00,yes,92,17,360,True,3.64
KXETH15M,KXETH15M-26JUN281245-45,no,93,16,480,True,3.15
KXETH15M,KXETH15M-26JUN281145-45,no,92,15,240,True,3.64
