series,ticker,zone,side,ask,secs_left,won,profit,prior_filter
KXBTC15M,KXBTC15M-26AUG040400-00,80-84c,yes,80,420,True,8.14,True
KXBTC15M,KXBTC15M-26AUG040345-45,80-84c,yes,84,600,True,6.2,True
KXBTC15M,KXBTC15M-26AUG040345-45,90-95c,yes,91,540,True,3.22,True
KXBTC15M,KXBTC15M-26AUG040345-45,85-89c,yes,86,420,True,5.3,True
KXBTC15M,KXBTC15M-26AUG040330-30,90-95c,no,94,480,False,-35,True
KXBTC15M,KXBTC15M-26AUG040330-30,75-79c,no,77,300,False,-35,True
KXBTC15M,KXBTC15M-26AUG040300-00,90-95c,no,94,360,True,2.08,True
KXBTC15M,KXBTC15M-26AUG040230-30,80-84c,yes,83,480,False,-35,True
KXBTC15M,KXBTC15M-26AUG040230-30,85-89c,yes,88,420,False,-35,True
KXBTC15M,KXBTC15M-26AUG040200-00,90-95c,no,94,420,True,2.08,True
KXBTC15M,KXBTC15M-26AUG040200-00,85-89c,no,89,360,True,4.02,True
KXBTC15M,KXBTC15M-26AUG040100-00,85-89c,yes,87,480,False,-35,True
KXBTC15M,KXBTC15M-26AUG040100-00,90-95c,yes,95,360,False,-35,True
KXBTC15M,KXBTC15M-26AUG040045-45,85-89c,yes,87,480,True,4.86,True
KXBTC15M,KXBTC15M-26AUG040045-45,90-95c,yes,91,420,True,3.22,True
KXBTC15M,KXBTC15M-26AUG040030-30,90-95c,yes,92,480,True,2.83,True
KXBTC15M,KXBTC15M-26AUG040030-30,85-89c,yes,87,240,True,4.86,True
KXBTC15M,KXBTC15M-26AUG032345-45,90-95c,yes,93,360,True,2.45,True
KXBTC15M,KXBTC15M-26AUG032315-15,85-89c,no,88,300,True,4.44,True
KXBTC15M,KXBTC15M-26AUG032215-15,90-95c,no,92,360,True,2.83,True
KXBTC15M,KXBTC15M-26AUG032200-00,85-89c,yes,87,180,True,4.86,True
KXBTC15M,KXBTC15M-26AUG032145-45,90-95c,yes,95,600,True,1.71,True
KXBTC15M,KXBTC15M-26AUG032130-30,75-79c,yes,77,300,True,9.72,True
KXBTC15M,KXBTC15M-26AUG032115-15,85-89c,yes,86,600,True,5.3,True
KXBTC15M,KXBTC15M-26AUG032115-15,90-95c,yes,95,540,True,1.71,True
